Partlist

Exported from mainboard.brd at 2019/06/23 19:20

EAGLE Version 9.4.0 Copyright (c) 1988-2019 Autodesk, Inc.

Assembly variant: 

Part           Value                  Package                  Library                     Position (mil)        Orientation

3.3C1          100u                   D/7343-31R               rcl                         (2300 4400)           R0
3.3C2          0.1u                   C0805                    rcl                         (2325 4250)           R180
3.3REG         OKL-T_6-W12N-C         OKL-T/3-W5               SamacSys_Parts              (2025 4800)           R270
5C1            100u                   D/7343-31R               rcl                         (1450 4400)           R0
5C2            0.1u                   C0805                    rcl                         (1500 4250)           R180
5VREG          OKL-T_6-W12N-C         OKL-T/3-W5               SamacSys_Parts              (1175 4800)           R270
5VS-C1         0.1u                   C0805                    rcl                         (1990 2190)           R270
8MHZ           P-08669_HUSG-12.000-20 HC49U-V                  Akizuki                     (3190 2730)           R180
9C1            100u                   D/7343-31R               rcl                         (1050 4600)           R90
12C2           0.1u                   C0805                    rcl                         (1025 4850)           R180
50MHZ          ASE                    ASE                      crystal                     (3970 3320)           R0
100            330                    R0805                    0@Mylibrary-main1           (2010 3680)           R90
ADC1           XH-3                   CON3                     0@Mylibrary-main1           (3050 4300)           R180
ADC2           XH-3                   CON3                     0@Mylibrary-main1           (3050 4550)           R180
ADC3           XH-3                   CON3                     0@Mylibrary-main1           (3050 4800)           R180
ADC4           XH-3                   CON3                     0@Mylibrary-main1           (3050 5050)           R180
BAT-JP1        0                      R0805                    0@Mylibrary-main1           (2120 2100)           R0
BAT-R1         2.2k                   R0805                    0@Mylibrary-main1           (1990 1950)           R90
BAT-R2         330                    R0805                    0@Mylibrary-main1           (2070 1950)           R270
BOOT0-STM      DTS-6                  DTS-6                    forprint                    (1900 750)            R270
BUZ-R1         4.7k                   R0805                    0@Mylibrary-main1           (3380 4100)           R90
BUZ-R2         4.7k                   R0805                    0@Mylibrary-main1           (3300 4100)           R90
BUZZER2        XH-2                   CON2                     0@Mylibrary-main1           (3100 4050)           R0
C1             22uF25V                C2012                    resistor                    (1025 4950)           R180
C2             10uF10V                C2012                    resistor                    (1500 4550)           R180
C3             22uF25V                C2012                    resistor                    (1925 4925)           R180
C4             10uF10V                C2012                    resistor                    (2350 4550)           R180
C5             22pF                   C1608                    resistor                    (3140 2885)           R180
C6             22pF                   C1608                    resistor                    (3255 2885)           R0
CAN-C1         4.7u                   C0805                    rcl                         (1780 1650)           MR180
CAN-R          XH-2                   CON2                     0@Mylibrary-main1           (2120 1280)           R90
CAN-R1         51                     R0805                    0@Mylibrary-main1           (1850 1570)           R270
CAN-R2         51                     R0805                    0@Mylibrary-main1           (1850 1730)           R90
CN1                                   RJ45_PULSEJACK           Akizuki                     (5250 2750)           R90
EM-SW          XH-2                   CON2                     0@Mylibrary-main1           (3190 2430)           R0
FET-R9         100                    R0805                    0@Mylibrary-main1           (900 2220)            R0
FET-R10        100                    R0805                    0@Mylibrary-main1           (900 2300)            R0
FET-R13        100                    R0805                    0@Mylibrary-main1           (900 2900)            R0
FET-R14        100                    R0805                    0@Mylibrary-main1           (900 3000)            R0
FETR2          4.7k                   EXBN8V                   resistor-dil                (950 2550)            R90
GND-CH         GND                    SMD2,54-5,08             wirepad                     (590 3245)            R0
GND-CHK        GND                    2,15/1,0                 wirepad                     (750 3250)            R0
GND-CHK1       GND                    2,15/1,0                 wirepad                     (1000 4050)           R0
HUMAN1         XH-3                   CON3                     0@Mylibrary-main1           (4050 4110)           R90
HUMAN2         XH-3                   CON3                     0@Mylibrary-main1           (4400 4110)           R90
HUMAN3         XH-3                   CON3                     0@Mylibrary-main1           (4750 4110)           R90
I2C-R          XH-4                   CON4                     0@Mylibrary-main1           (1750 3250)           R90
I2C-R1         4.7K                   R0805                    0@Mylibrary-main1           (1300 3200)           R0
I2C-R2         4.7K                   R0805                    0@Mylibrary-main1           (1300 3300)           R0
IC1            STM32F429VGT           LQFP100                  micro-stm_v3                (3150 3400)           R0
IC2            LTC485N                DIL08                    linear-technology           (2350 2550)           R90
IC3            DP83848                LQFP48                   national-semiconductor      (4150 2950)           R90
IC4            MCP2561-E_P            DIP781W56P254L950H533Q8N MCP2561-E_P                 (2090 1660)           R180
JP1                                   1X02/90                  0pinhead                    (2245 1015)           R270
JY901          XH-4                   CON4                     0@Mylibrary-main1           (1500 3250)           R90
LED1                                  B3P-VH                   jst-vh                      (730 710)             R270
